idx,char,examples,distractors,batch,category,meanings,radical,components,complexity,retired
1,一,"[{""idx"": 1}, {""idx"": 2}, {""idx"": 3}, {""idx"": 4}, {""idx"": 5}, {""idx"": 6, ""batch"": 2}, {""idx"": 7, ""batch"": 2}]","[{""word"": ""一水"", ""reading"": ""いっすい"", ""meaning"": ""(non-word)""}, {""word"": ""一肉"", ""reading"": ""いちにく"", ""meaning"": ""(non-word)""}, {""word"": ""一茶"", ""reading"": ""いっちゃ"", ""meaning"": ""(non-word)""}]",1,Numbers,one; one radical (no.1),一,一,1,false
2,二,"[{""idx"": 8}, {""idx"": 9}, {""idx"": 10}, {""idx"": 11}, {""idx"": 12}, {""idx"": 13, ""batch"": 2}, {""idx"": 14, ""batch"": 2}]","[{""word"": ""二水"", ""reading"": ""にすい"", ""meaning"": ""(non-word)""}, {""word"": ""二肉"", ""reading"": ""にに く"", ""meaning"": ""(non-word)""}, {""word"": ""二油"", ""reading"": ""にゆ"", ""meaning"": ""(non-word)""}]",1,Numbers,two; two radical (no. 7),二,二,2,false
3,三,"[{""idx"": 15}, {""idx"": 16}, {""idx"": 17}, {""idx"": 18}, {""idx"": 19}, {""idx"": 20, ""batch"": 2}]","[{""word"": ""三肉"", ""reading"": ""さんにく"", ""meaning"": ""(non-word)""}, {""word"": ""三茶"", ""reading"": ""さんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""三電"", ""reading"": ""さんでん"", ""meaning"": ""(non-word)""}]",1,Numbers,three,一,一 二,3,false
4,四,"[{""idx"": 21}, {""idx"": 22}, {""idx"": 23}, {""idx"": 24}, {""idx"": 25}, {""idx"": 26, ""batch"": 2}]","[{""word"": ""四水"", ""reading"": ""しすい"", ""meaning"": ""(non-word)""}, {""word"": ""四肉"", ""reading"": ""しにく"", ""meaning"": ""(non-word)""}, {""word"": ""四道"", ""reading"": ""しどう"", ""meaning"": ""(non-word)""}]",1,Numbers,four,囗,儿 囗,5,false
5,五,"[{""idx"": 27}, {""idx"": 28}, {""idx"": 29}, {""idx"": 30}, {""idx"": 31}, {""idx"": 32, ""batch"": 2}, {""idx"": 33, ""batch"": 2}]","[{""word"": ""五肉"", ""reading"": ""ごにく"", ""meaning"": ""(non-word)""}, {""word"": ""五茶"", ""reading"": ""ごちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""五山"", ""reading"": ""ごやま"", ""meaning"": ""(non-word)""}]",1,Numbers,five,二,五,4,false
6,六,"[{""idx"": 34}, {""idx"": 35}, {""idx"": 36}, {""idx"": 37}, {""idx"": 38}, {""idx"": 39, ""batch"": 2}]","[{""word"": ""六肉"", ""reading"": ""ろくにく"", ""meaning"": ""(non-word)""}, {""word"": ""六水"", ""reading"": ""ろくすい"", ""meaning"": ""(non-word)""}, {""word"": ""六茶"", ""reading"": ""ろくちゃ"", ""meaning"": ""(non-word)""}]",1,Numbers,six,八,ハ 亠,4,false
7,七,"[{""idx"": 40}, {""idx"": 41}, {""idx"": 42}, {""idx"": 43}, {""idx"": 44}, {""idx"": 45, ""batch"": 2}]","[{""word"": ""七肉"", ""reading"": ""しちにく"", ""meaning"": ""(non-word)""}, {""word"": ""七油"", ""reading"": ""ななゆ"", ""meaning"": ""(non-word)""}, {""word"": ""七電"", ""reading"": ""しちでん"", ""meaning"": ""(non-word)""}]",1,Numbers,seven,一,乙 匕 ノ,2,false
8,八,"[{""idx"": 46}, {""idx"": 47}, {""idx"": 48}, {""idx"": 49}, {""idx"": 50}, {""idx"": 51, ""batch"": 2}]","[{""word"": ""八肉"", ""reading"": ""はちにく"", ""meaning"": ""(non-word)""}, {""word"": ""八茶"", ""reading"": ""はっちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""八水"", ""reading"": ""はっすい"", ""meaning"": ""(non-word)""}]",1,Numbers,eight; eight radical (no. 12),八,ハ,2,false
9,九,"[{""idx"": 52}, {""idx"": 53}, {""idx"": 54}, {""idx"": 55}, {""idx"": 56}, {""idx"": 57, ""batch"": 2}]","[{""word"": ""九肉"", ""reading"": ""きゅうにく"", ""meaning"": ""(non-word)""}, {""word"": ""九茶"", ""reading"": ""きゅうちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""九道"", ""reading"": ""くどう"", ""meaning"": ""(non-word)""}]",1,Numbers,nine,乙,九,2,false
10,十,"[{""idx"": 58}, {""idx"": 59}, {""idx"": 60}, {""idx"": 61}, {""idx"": 62}, {""idx"": 63, ""batch"": 2}, {""idx"": 854}, {""idx"": 855}, {""idx"": 856}]","[{""word"": ""十肉"", ""reading"": ""じゅうにく"", ""meaning"": ""(non-word)""}, {""word"": ""十茶"", ""reading"": ""じゅっちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""十油"", ""reading"": ""じゅうゆ"", ""meaning"": ""(non-word)""}]",1,Numbers,ten,十,十,2,false
11,百,"[{""idx"": 64}, {""idx"": 65}, {""idx"": 66}, {""idx"": 67}, {""idx"": 68}, {""idx"": 69, ""batch"": 2}]","[{""word"": ""百肉"", ""reading"": ""ひゃくにく"", ""meaning"": ""(non-word)""}, {""word"": ""百茶"", ""reading"": ""ひゃくちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""百道"", ""reading"": ""ひゃくどう"", ""meaning"": ""(non-word)""}]",1,Numbers,hundred,白,一 白,6,false
12,千,"[{""idx"": 70}, {""idx"": 71}, {""idx"": 72}, {""idx"": 73}, {""idx"": 74}, {""idx"": 75, ""batch"": 2}]","[{""word"": ""千肉"", ""reading"": ""せんにく"", ""meaning"": ""(non-word)""}, {""word"": ""千茶"", ""reading"": ""せんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""千水"", ""reading"": ""せんすい"", ""meaning"": ""(non-word)""}]",1,Numbers,thousand,十,ノ 十,3,false
13,万,"[{""idx"": 76}, {""idx"": 77}, {""idx"": 78}, {""idx"": 79, ""batch"": 2}]","[{""word"": ""万肉"", ""reading"": ""まんにく"", ""meaning"": ""(non-word)""}, {""word"": ""万茶"", ""reading"": ""まんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""万電"", ""reading"": ""まんでん"", ""meaning"": ""(non-word)""}]",1,Numbers,"ten thousand; 10,000",一,｜ ノ 一,3,false
14,日,"[{""idx"": 80}, {""idx"": 81}, {""idx"": 82}, {""idx"": 83}, {""idx"": 84}, {""idx"": 85, ""batch"": 2}, {""idx"": 894, ""batch"": 2}]","[{""word"": ""日肉"", ""reading"": ""ひにく"", ""meaning"": ""(non-word)""}, {""word"": ""日茶"", ""reading"": ""にっちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""日油"", ""reading"": ""ひあぶら"", ""meaning"": ""(non-word)""}]",1,Time,day; sun; Japan; counter for days,日,日,4,false
15,月,"[{""idx"": 86}, {""idx"": 87}, {""idx"": 88}, {""idx"": 4}, {""idx"": 89}, {""idx"": 90, ""batch"": 2}, {""idx"": 893, ""batch"": 2}]","[{""word"": ""月肉"", ""reading"": ""つきにく"", ""meaning"": ""(non-word)""}, {""word"": ""月茶"", ""reading"": ""げっちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""月道"", ""reading"": ""つきどう"", ""meaning"": ""(non-word)""}]",1,Time,month; moon,月,月,4,false
16,火,"[{""idx"": 91}, {""idx"": 92}, {""idx"": 93}, {""idx"": 94}, {""idx"": 95}]","[{""word"": ""火肉"", ""reading"": ""ひにく"", ""meaning"": ""(non-word)""}, {""word"": ""火茶"", ""reading"": ""かちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""火米"", ""reading"": ""かまい"", ""meaning"": ""(non-word)""}]",1,Nature,fire,火,火,4,false
17,水,"[{""idx"": 96}, {""idx"": 97}, {""idx"": 98}, {""idx"": 99}, {""idx"": 100}]","[{""word"": ""水肉"", ""reading"": ""みずにく"", ""meaning"": ""(non-word)""}, {""word"": ""水茶"", ""reading"": ""みずちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""水電"", ""reading"": ""すいでん"", ""meaning"": ""(non-word)""}]",1,Nature,water,水,水,4,false
18,木,"[{""idx"": 101}, {""idx"": 102}, {""idx"": 103}, {""idx"": 104}]","[{""word"": ""木肉"", ""reading"": ""きにく"", ""meaning"": ""(non-word)""}, {""word"": ""木茶"", ""reading"": ""もくちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""木油"", ""reading"": ""きあぶら"", ""meaning"": ""(non-word)""}]",1,Nature,tree; wood,木,木,4,false
19,金,"[{""idx"": 105}, {""idx"": 106}, {""idx"": 107}, {""idx"": 108}, {""idx"": 109}]","[{""word"": ""金菜"", ""reading"": ""きんさい"", ""meaning"": ""(non-word)""}, {""word"": ""金麺"", ""reading"": ""きんめん"", ""meaning"": ""(non-word)""}, {""word"": ""金駅"", ""reading"": ""きんえき"", ""meaning"": ""(non-word)""}]",1,Shopping,gold,金,金 王 ハ 𠆢 丷,8,false
20,土,"[{""idx"": 110}, {""idx"": 111}, {""idx"": 112}, {""idx"": 113}, {""idx"": 910}]","[{""word"": ""土肉"", ""reading"": ""つちにく"", ""meaning"": ""(non-word)""}, {""word"": ""土茶"", ""reading"": ""どちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""土油"", ""reading"": ""つちあぶら"", ""meaning"": ""(non-word)""}]",1,Nature,soil; earth; ground; Turkey,土,土,3,false
21,年,"[{""idx"": 114}, {""idx"": 115}, {""idx"": 116}, {""idx"": 117}, {""idx"": 118, ""batch"": 2}]","[{""word"": ""年肉"", ""reading"": ""としにく"", ""meaning"": ""(non-word)""}, {""word"": ""年茶"", ""reading"": ""ねんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""年水"", ""reading"": ""ねんすい"", ""meaning"": ""(non-word)""}]",1,Time,year; counter for years,干,ノ 一 干 𠂉,6,false
22,時,"[{""idx"": 119}, {""idx"": 120}, {""idx"": 121}, {""idx"": 7}, {""idx"": 122}]","[{""word"": ""時肉"", ""reading"": ""じにく"", ""meaning"": ""(non-word)""}, {""word"": ""時茶"", ""reading"": ""じちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""時米"", ""reading"": ""じまい"", ""meaning"": ""(non-word)""}]",1,Time,time; hour,日,寸 土 日,10,false
23,分,"[{""idx"": 123}, {""idx"": 124}, {""idx"": 125}, {""idx"": 126}, {""idx"": 127, ""batch"": 2}, {""idx"": 890}, {""idx"": 891, ""batch"": 2}]","[{""word"": ""分肉"", ""reading"": ""ぶんにく"", ""meaning"": ""(non-word)""}, {""word"": ""分茶"", ""reading"": ""ぶんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""分電"", ""reading"": ""ぶんでん"", ""meaning"": ""(non-word)""}]",1,Time,part; minute of time; segment; share; degree; one's lot; duty; understand; know; rate; 1%; chances; shaku/100,刀,刀 ハ,4,false
24,今,"[{""idx"": 128}, {""idx"": 84}, {""idx"": 88}, {""idx"": 115}, {""idx"": 129}]","[{""word"": ""今肉"", ""reading"": ""いまにく"", ""meaning"": ""(non-word)""}, {""word"": ""今茶"", ""reading"": ""いまちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""今油"", ""reading"": ""いまゆ"", ""meaning"": ""(non-word)""}]",1,Time,now,人,𠆢 一,4,false
25,半,"[{""idx"": 124}, {""idx"": 130}, {""idx"": 131}, {""idx"": 132}, {""idx"": 892}]","[{""word"": ""半肉"", ""reading"": ""はんにく"", ""meaning"": ""(non-word)""}, {""word"": ""半茶"", ""reading"": ""はんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""半電"", ""reading"": ""はんでん"", ""meaning"": ""(non-word)""}]",1,Time,half; middle; odd number; semi-; part-,十,｜ 二 丷 十,5,false
26,間,"[{""idx"": 133}, {""idx"": 120}, {""idx"": 134}, {""idx"": 135}, {""idx"": 136}]","[{""word"": ""間肉"", ""reading"": ""かんにく"", ""meaning"": ""(non-word)""}, {""word"": ""間茶"", ""reading"": ""かんちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""間米"", ""reading"": ""かんまい"", ""meaning"": ""(non-word)""}]",1,Time,interval; space,門,日 門,12,false
27,週,"[{""idx"": 129}, {""idx"": 137}, {""idx"": 138}, {""idx"": 139, ""batch"": 2}]","[{""word"": ""週肉"", ""reading"": ""しゅうにく"", ""meaning"": ""(non-word)""}, {""word"": ""週茶"", ""reading"": ""しゅうちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""週水"", ""reading"": ""しゅうすい"", ""meaning"": ""(non-word)""}]",1,Time,week,辵,口 辶 土 冂,11,false
28,毎,"[{""idx"": 82}, {""idx"": 89}, {""idx"": 116}, {""idx"": 138}, {""idx"": 140, ""batch"": 2}]","[{""word"": ""毎肉"", ""reading"": ""まいにく"", ""meaning"": ""(non-word)""}, {""word"": ""毎茶"", ""reading"": ""まいちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""毎電"", ""reading"": ""まいでん"", ""meaning"": ""(non-word)""}]",1,Time,every,毋,母 毋 𠂉,6,false
29,曜,"[{""idx"": 141}, {""idx"": 142}, {""idx"": 92}, {""idx"": 143}, {""idx"": 111}]","[{""word"": ""曜肉"", ""reading"": ""ようにく"", ""meaning"": ""(non-word)""}, {""word"": ""曜茶"", ""reading"": ""ようちゃ"", ""meaning"": ""(non-word)""}, {""word"": ""曜水"", ""reading"": ""ようすい"", ""meaning"": ""(non-word)""}]",1,Time,weekday,日,ヨ 日 隹,18,false
