idx,root_ar,root_translit,core_meaning,batch1,batch2,batch3
1,ك ت ب,k-t-b,"writing, recording","[{""word"": ""كتب"", ""voweled"": ""كَتَبَ"", ""en"": ""to write"", ""accept"": [""كَتَبَ"", ""كُتُب""]}, {""word"": ""كتاب"", ""voweled"": ""كِتَاب"", ""en"": ""book"", ""plural"": {""word"": ""كتب"", ""voweled"": ""كُتُب""}, ""accept"": [""كُتَّاب"", ""كِتَاب""]}, {""word"": ""كاتب"", ""voweled"": ""كَاتِب"", ""en"": ""writer"", ""plural"": {""word"": ""كتاب"", ""voweled"": ""كُتَّاب""}}, {""word"": ""مكتب"", ""voweled"": ""مَكْتَب"", ""en"": ""office"", ""plural"": {""word"": ""مكاتب"", ""voweled"": ""مَكَاتِب""}}, {""word"": ""مكتبة"", ""voweled"": ""مَكْتَبَة"", ""en"": ""library"", ""plural"": {""word"": ""مكتبات"", ""voweled"": ""مَكْتَبَات""}}]","[{""word"": ""مكتوب"", ""voweled"": ""مَكْتُوب"", ""en"": ""written; letter""}, {""word"": ""كتابة"", ""voweled"": ""كِتَابَة"", ""en"": ""writing""}, {""word"": ""كتيب"", ""voweled"": ""كُتَيِّب"", ""en"": ""booklet"", ""plural"": {""word"": ""كتيبات"", ""voweled"": ""كُتَيِّبَات""}}, {""word"": ""كتيبة"", ""voweled"": ""كَتِيبَة"", ""en"": ""battalion"", ""plural"": {""word"": ""كتائب"", ""voweled"": ""كَتَائِب""}}, {""word"": ""مكاتبة"", ""voweled"": ""مُكَاتَبَة"", ""en"": ""correspondence""}]","[{""word"": ""اكتتاب"", ""voweled"": ""اِكْتِتَاب"", ""en"": ""subscription; IPO""}, {""word"": ""كتابي"", ""voweled"": ""كِتَابِيّ"", ""en"": ""written (adj.)""}]"
2,ق و ل,q-w-l,"saying, speech","[{""word"": ""قال"", ""voweled"": ""قَالَ"", ""en"": ""to say""}, {""word"": ""قول"", ""voweled"": ""قَوْل"", ""en"": ""statement"", ""plural"": {""word"": ""أقوال"", ""voweled"": ""أَقْوَال""}}, {""word"": ""مقال"", ""voweled"": ""مَقَال"", ""en"": ""article"", ""plural"": {""word"": ""مقالات"", ""voweled"": ""مَقَالَات""}}, {""word"": ""مقولة"", ""voweled"": ""مَقُولَة"", ""en"": ""saying""}, {""word"": ""مقالة"", ""voweled"": ""مَقَالَة"", ""en"": ""essay""}]",[],[]
3,ف ع ل,f-ʿ-l,"doing, making","[{""word"": ""فعل"", ""voweled"": ""فَعَلَ"", ""en"": ""to do"", ""accept"": [""فَعَلَ"", ""فِعْل""]}, {""word"": ""فعل"", ""voweled"": ""فِعْل"", ""en"": ""verb; act"", ""plural"": {""word"": ""أفعال"", ""voweled"": ""أَفْعَال""}, ""accept"": [""فَعَلَ"", ""فِعْل""]}, {""word"": ""فاعل"", ""voweled"": ""فَاعِل"", ""en"": ""doer; subject""}, {""word"": ""مفعول"", ""voweled"": ""مَفْعُول"", ""en"": ""object""}, {""word"": ""تفاعل"", ""voweled"": ""تَفَاعُل"", ""en"": ""interaction""}]","[{""word"": ""فعال"", ""voweled"": ""فَعَّال"", ""en"": ""effective""}, {""word"": ""فعالية"", ""voweled"": ""فَعَّالِيَّة"", ""en"": ""effectiveness; event"", ""plural"": {""word"": ""فعاليات"", ""voweled"": ""فَعَّالِيَّات""}}, {""word"": ""فعلي"", ""voweled"": ""فِعْلِيّ"", ""en"": ""actual; real""}, {""word"": ""انفعال"", ""voweled"": ""اِنْفِعَال"", ""en"": ""agitation; emotion""}, {""word"": ""تفعيل"", ""voweled"": ""تَفْعِيل"", ""en"": ""activation""}]",[]
4,ع م ل,ʿ-m-l,"work, action","[{""word"": ""عمل"", ""voweled"": ""عَمِلَ"", ""en"": ""to work"", ""accept"": [""عَمَل"", ""عَمِلَ""]}, {""word"": ""عمل"", ""voweled"": ""عَمَل"", ""en"": ""work"", ""plural"": {""word"": ""أعمال"", ""voweled"": ""أَعْمَال""}, ""accept"": [""عَمَل"", ""عَمِلَ""]}, {""word"": ""عامل"", ""voweled"": ""عَامِل"", ""en"": ""worker"", ""plural"": {""word"": ""عمال"", ""voweled"": ""عُمَّال""}}, {""word"": ""معمل"", ""voweled"": ""مَعْمَل"", ""en"": ""laboratory"", ""plural"": {""word"": ""معامل"", ""voweled"": ""مَعَامِل""}}, {""word"": ""استعمال"", ""voweled"": ""اِسْتِعْمَال"", ""en"": ""use""}]","[{""word"": ""معاملة"", ""voweled"": ""مُعَامَلَة"", ""en"": ""treatment; transaction""}, {""word"": ""عملية"", ""voweled"": ""عَمَلِيَّة"", ""en"": ""operation; process"", ""plural"": {""word"": ""عمليات"", ""voweled"": ""عَمَلِيَّات""}}, {""word"": ""عميل"", ""voweled"": ""عَمِيل"", ""en"": ""client; agent"", ""plural"": {""word"": ""عملاء"", ""voweled"": ""عُمَلَاء""}}, {""word"": ""عملة"", ""voweled"": ""عُمْلَة"", ""en"": ""currency"", ""plural"": {""word"": ""عملات"", ""voweled"": ""عُمْلَات""}}, {""word"": ""تعامل"", ""voweled"": ""تَعَامُل"", ""en"": ""dealing; interaction""}]",[]
5,ع ل م,ʿ-l-m,"knowing, knowledge","[{""word"": ""علم"", ""voweled"": ""عِلْم"", ""en"": ""science; knowledge"", ""accept"": [""عَلَم"", ""عِلْم""]}, {""word"": ""عالم"", ""voweled"": ""عَالِم"", ""en"": ""scholar"", ""plural"": {""word"": ""علماء"", ""voweled"": ""عُلَمَاء""}, ""accept"": [""عَالَم"", ""عَالِم""]}, {""word"": ""عالم"", ""voweled"": ""عَالَم"", ""en"": ""world"", ""plural"": {""word"": ""عوالم"", ""voweled"": ""عَوَالِم""}, ""accept"": [""عَالَم"", ""عَالِم""]}, {""word"": ""معلم"", ""voweled"": ""مُعَلِّم"", ""en"": ""teacher"", ""plural"": {""word"": ""معلمون"", ""voweled"": ""مُعَلِّمُون""}}, {""word"": ""تعليم"", ""voweled"": ""تَعْلِيم"", ""en"": ""education""}]","[{""word"": ""معلومات"", ""voweled"": ""مَعْلُومَات"", ""en"": ""information""}, {""word"": ""علامة"", ""voweled"": ""عَلَامَة"", ""en"": ""sign; mark"", ""plural"": {""word"": ""علامات"", ""voweled"": ""عَلَامَات""}}, {""word"": ""علم"", ""voweled"": ""عَلَم"", ""en"": ""flag"", ""plural"": {""word"": ""أعلام"", ""voweled"": ""أَعْلَام""}, ""accept"": [""عَلَم"", ""عِلْم""]}, {""word"": ""إعلام"", ""voweled"": ""إِعْلَام"", ""en"": ""media""}, {""word"": ""تعلم"", ""voweled"": ""تَعَلُّم"", ""en"": ""learning""}]","[{""word"": ""عالمي"", ""voweled"": ""عَالَمِيّ"", ""en"": ""global""}, {""word"": ""متعلم"", ""voweled"": ""مُتَعَلِّم"", ""en"": ""educated""}]"
6,ك و ن,k-w-n,"being, existing","[{""word"": ""كان"", ""voweled"": ""كَانَ"", ""en"": ""to be""}, {""word"": ""مكان"", ""voweled"": ""مَكَان"", ""en"": ""place"", ""plural"": {""word"": ""أماكن"", ""voweled"": ""أَمَاكِن""}}, {""word"": ""كون"", ""voweled"": ""كَوْن"", ""en"": ""universe""}, {""word"": ""مكون"", ""voweled"": ""مُكَوِّن"", ""en"": ""component"", ""plural"": {""word"": ""مكونات"", ""voweled"": ""مُكَوِّنَات""}}, {""word"": ""تكوين"", ""voweled"": ""تَكْوِين"", ""en"": ""formation""}]","[{""word"": ""كيان"", ""voweled"": ""كِيَان"", ""en"": ""entity"", ""plural"": {""word"": ""كيانات"", ""voweled"": ""كِيَانَات""}}, {""word"": ""كائن"", ""voweled"": ""كَائِن"", ""en"": ""creature; being"", ""plural"": {""word"": ""كائنات"", ""voweled"": ""كَائِنَات""}}, {""word"": ""مكانة"", ""voweled"": ""مَكَانَة"", ""en"": ""status; standing""}]",[]
7,و ج د,w-j-d,"finding, existing","[{""word"": ""وجد"", ""voweled"": ""وَجَدَ"", ""en"": ""to find""}, {""word"": ""موجود"", ""voweled"": ""مَوْجُود"", ""en"": ""present; existing""}, {""word"": ""وجود"", ""voweled"": ""وُجُود"", ""en"": ""existence""}, {""word"": ""إيجاد"", ""voweled"": ""إِيجَاد"", ""en"": ""finding; creating""}, {""word"": ""وجدان"", ""voweled"": ""وِجْدَان"", ""en"": ""conscience; sentiment""}]","[{""word"": ""تواجد"", ""voweled"": ""تَوَاجُد"", ""en"": ""presence""}]",[]
8,ذ ه ب,dh-h-b,going,"[{""word"": ""ذهب"", ""voweled"": ""ذَهَبَ"", ""en"": ""to go"", ""accept"": [""ذَهَب"", ""ذَهَبَ""]}, {""word"": ""ذهاب"", ""voweled"": ""ذَهَاب"", ""en"": ""going""}, {""word"": ""ذهب"", ""voweled"": ""ذَهَب"", ""en"": ""gold"", ""accept"": [""ذَهَب"", ""ذَهَبَ""]}, {""word"": ""مذهب"", ""voweled"": ""مَذْهَب"", ""en"": ""doctrine; school of thought"", ""plural"": {""word"": ""مذاهب"", ""voweled"": ""مَذَاهِب""}}, {""word"": ""ذاهب"", ""voweled"": ""ذَاهِب"", ""en"": ""going (adj.)""}]","[{""word"": ""ذهبي"", ""voweled"": ""ذَهَبِيّ"", ""en"": ""golden""}]",[]
9,ر ج ع,r-j-ʿ,returning,"[{""word"": ""رجع"", ""voweled"": ""رَجَعَ"", ""en"": ""to return""}, {""word"": ""رجوع"", ""voweled"": ""رُجُوع"", ""en"": ""return""}, {""word"": ""مرجع"", ""voweled"": ""مَرْجِع"", ""en"": ""reference"", ""plural"": {""word"": ""مراجع"", ""voweled"": ""مَرَاجِع""}}, {""word"": ""مراجعة"", ""voweled"": ""مُرَاجَعَة"", ""en"": ""review"", ""plural"": {""word"": ""مراجعات"", ""voweled"": ""مُرَاجَعَات""}}, {""word"": ""إرجاع"", ""voweled"": ""إِرْجَاع"", ""en"": ""returning (something)""}]","[{""word"": ""مرجعية"", ""voweled"": ""مَرْجِعِيَّة"", ""en"": ""frame of reference; authority""}, {""word"": ""رجعي"", ""voweled"": ""رَجْعِيّ"", ""en"": ""reactionary""}]",[]
10,خ ر ج,kh-r-j,"exiting, going out","[{""word"": ""خرج"", ""voweled"": ""خَرَجَ"", ""en"": ""to go out""}, {""word"": ""خروج"", ""voweled"": ""خُرُوج"", ""en"": ""exit(ing)""}, {""word"": ""مخرج"", ""voweled"": ""مَخْرَج"", ""en"": ""exit; director"", ""plural"": {""word"": ""مخارج"", ""voweled"": ""مَخَارِج""}, ""accept"": [""مَخْرَج"", ""مُخْرِج""]}, {""word"": ""خارج"", ""voweled"": ""خَارِج"", ""en"": ""outside""}, {""word"": ""إخراج"", ""voweled"": ""إِخْرَاج"", ""en"": ""expulsion; (film) directing""}]","[{""word"": ""تخرج"", ""voweled"": ""تَخَرُّج"", ""en"": ""graduation""}, {""word"": ""مخرج"", ""voweled"": ""مُخْرِج"", ""en"": ""(film) director"", ""plural"": {""word"": ""مخرجون"", ""voweled"": ""مُخْرِجُون""}, ""accept"": [""مَخْرَج"", ""مُخْرِج""]}, {""word"": ""خارجي"", ""voweled"": ""خَارِجِيّ"", ""en"": ""external""}]",[]
