id,level,root_list,tokens
a001,b,"[1, 17, 25]","[{""kind"": ""word"", ""ar"": ""كتب"", ""voweled"": ""كَتَبَ"", ""en"": ""wrote"", ""roots"": [1], ""lemma"": ""كتب""}, {""kind"": ""word"", ""ar"": ""الطالب"", ""voweled"": ""الطَّالِب"", ""en"": ""the student"", ""roots"": [25], ""lemma"": ""طالب""}, {""kind"": ""word"", ""ar"": ""الدرس"", ""voweled"": ""الدَّرْس"", ""en"": ""the lesson"", ""roots"": [17], ""lemma"": ""درس""}]"
a002,b,"[1, 16, 34]","[{""kind"": ""word"", ""ar"": ""قرأ"", ""voweled"": ""قَرَأَ"", ""en"": ""read"", ""roots"": [16], ""lemma"": ""قرأ""}, {""kind"": ""word"", ""ar"": ""الرجل"", ""voweled"": ""الرَّجُل"", ""en"": ""the man"", ""roots"": [34], ""lemma"": ""رجل""}, {""kind"": ""word"", ""ar"": ""الكتاب"", ""voweled"": ""الْكِتَاب"", ""en"": ""the book"", ""roots"": [1], ""lemma"": ""كتاب""}]"
a003,b,"[17, 25]","[{""kind"": ""word"", ""ar"": ""الطالب"", ""voweled"": ""الطَّالِب"", ""en"": ""the student"", ""roots"": [25], ""lemma"": ""طالب""}, {""kind"": ""func"", ""ar"": ""في"", ""voweled"": ""فِي"", ""en"": ""in"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""المدرسة"", ""voweled"": ""الْمَدْرَسَة"", ""en"": ""the school"", ""roots"": [17], ""lemma"": ""مدرسة""}]"
a004,b,"[5, 75]","[{""kind"": ""word"", ""ar"": ""المعلم"", ""voweled"": ""الْمُعَلِّم"", ""en"": ""the teacher"", ""roots"": [5], ""lemma"": ""معلم""}, {""kind"": ""func"", ""ar"": ""في"", ""voweled"": ""فِي"", ""en"": ""in"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""الجامعة"", ""voweled"": ""الْجَامِعَة"", ""en"": ""the university"", ""roots"": [75], ""lemma"": ""جامعة""}]"
a005,b,"[1, 77]","[{""kind"": ""word"", ""ar"": ""الكتاب"", ""voweled"": ""الْكِتَاب"", ""en"": ""the book"", ""roots"": [1], ""lemma"": ""كتاب""}, {""kind"": ""word"", ""ar"": ""جديد"", ""voweled"": ""جَدِيد"", ""en"": ""new"", ""roots"": [77], ""lemma"": ""جديد""}]"
a006,b,"[18, 30]","[{""kind"": ""word"", ""ar"": ""السؤال"", ""voweled"": ""السُّؤَال"", ""en"": ""the question"", ""roots"": [18], ""lemma"": ""سؤال""}, {""kind"": ""word"", ""ar"": ""طويل"", ""voweled"": ""طَوِيل"", ""en"": ""long; tall"", ""roots"": [30], ""lemma"": ""طويل""}]"
a007,b,"[19, 100]","[{""kind"": ""word"", ""ar"": ""الجواب"", ""voweled"": ""الْجَوَاب"", ""en"": ""the answer"", ""roots"": [19], ""lemma"": ""جواب""}, {""kind"": ""word"", ""ar"": ""مقبولة"", ""voweled"": ""مَقْبُولَة"", ""en"": ""acceptable (f.)"", ""roots"": [100], ""lemma"": ""مقبول"", ""inflected"": ""fem""}]"
a008,b,"[15, 17, 33]","[{""kind"": ""word"", ""ar"": ""فهم"", ""voweled"": ""فَهِمَ"", ""en"": ""understood"", ""roots"": [15], ""lemma"": ""فهم""}, {""kind"": ""word"", ""ar"": ""الولد"", ""voweled"": ""الْوَلَد"", ""en"": ""the boy"", ""roots"": [33], ""lemma"": ""ولد""}, {""kind"": ""word"", ""ar"": ""الدرس"", ""voweled"": ""الدَّرْس"", ""en"": ""the lesson"", ""roots"": [17], ""lemma"": ""درس""}]"
a009,b,"[5, 18, 25]","[{""kind"": ""word"", ""ar"": ""سأل"", ""voweled"": ""سَأَلَ"", ""en"": ""asked"", ""roots"": [18], ""lemma"": ""سأل""}, {""kind"": ""word"", ""ar"": ""الطالب"", ""voweled"": ""الطَّالِب"", ""en"": ""the student"", ""roots"": [25], ""lemma"": ""طالب""}, {""kind"": ""word"", ""ar"": ""المعلم"", ""voweled"": ""الْمُعَلِّم"", ""en"": ""the teacher"", ""roots"": [5], ""lemma"": ""معلم""}]"
a010,b,"[1, 28]","[{""kind"": ""word"", ""ar"": ""المكتبة"", ""voweled"": ""الْمَكْتَبَة"", ""en"": ""the library"", ""roots"": [1], ""lemma"": ""مكتبة""}, {""kind"": ""word"", ""ar"": ""كبيرة"", ""voweled"": ""كَبِيرَة"", ""en"": ""big (f.)"", ""roots"": [28], ""lemma"": ""كبير"", ""inflected"": ""fem""}]"
a011,b,"[16, 25, 26]","[{""kind"": ""word"", ""ar"": ""الطالب"", ""voweled"": ""الطَّالِب"", ""en"": ""the student"", ""roots"": [25], ""lemma"": ""طالب""}, {""kind"": ""word"", ""ar"": ""يقرأ"", ""voweled"": ""يَقْرَأ"", ""en"": ""reads"", ""roots"": [16], ""lemma"": ""قرأ"", ""inflected"": ""conj""}, {""kind"": ""word"", ""ar"": ""كثيرا"", ""voweled"": ""كَثِيرًا"", ""en"": ""a lot"", ""roots"": [26], ""lemma"": ""كثير"", ""inflected"": ""acc""}]"
a012,b,"[17, 33, 71]","[{""kind"": ""word"", ""ar"": ""درس"", ""voweled"": ""دَرَسَ"", ""en"": ""studied"", ""roots"": [17], ""lemma"": ""درس""}, {""kind"": ""word"", ""ar"": ""الولد"", ""voweled"": ""الْوَلَد"", ""en"": ""the boy"", ""roots"": [33], ""lemma"": ""ولد""}, {""kind"": ""func"", ""ar"": ""في"", ""voweled"": ""فِي"", ""en"": ""in"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""الليل"", ""voweled"": ""اللَّيْل"", ""en"": ""the night"", ""roots"": [71], ""lemma"": ""ليل""}]"
a013,b,"[17, 25, 75]","[{""kind"": ""word"", ""ar"": ""الطالبة"", ""voweled"": ""الطَّالِبَة"", ""en"": ""the student (f.)"", ""roots"": [25], ""lemma"": ""طالب"", ""inflected"": ""fem""}, {""kind"": ""word"", ""ar"": ""تدرس"", ""voweled"": ""تَدْرُس"", ""en"": ""studies (f.)"", ""roots"": [17], ""lemma"": ""درس"", ""inflected"": ""conj""}, {""kind"": ""func"", ""ar"": ""في"", ""voweled"": ""فِي"", ""en"": ""in"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""الجامعة"", ""voweled"": ""الْجَامِعَة"", ""en"": ""the university"", ""roots"": [75], ""lemma"": ""جامعة""}]"
a014,b,"[1, 77]","[{""kind"": ""func"", ""ar"": ""عندي"", ""voweled"": ""عِنْدِي"", ""en"": ""I have"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""كتاب"", ""voweled"": ""كِتَاب"", ""en"": ""book"", ""roots"": [1], ""lemma"": ""كتاب""}, {""kind"": ""word"", ""ar"": ""جديد"", ""voweled"": ""جَدِيد"", ""en"": ""new"", ""roots"": [77], ""lemma"": ""جديد""}]"
a015,b,"[18, 77]","[{""kind"": ""func"", ""ar"": ""هذا"", ""voweled"": ""هَذَا"", ""en"": ""this"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""سؤال"", ""voweled"": ""سُؤَال"", ""en"": ""question"", ""roots"": [18], ""lemma"": ""سؤال""}, {""kind"": ""word"", ""ar"": ""جديد"", ""voweled"": ""جَدِيد"", ""en"": ""new"", ""roots"": [77], ""lemma"": ""جديد""}]"
a016,b,"[17, 35, 80]","[{""kind"": ""word"", ""ar"": ""المدرسة"", ""voweled"": ""الْمَدْرَسَة"", ""en"": ""the school"", ""roots"": [17], ""lemma"": ""مدرسة""}, {""kind"": ""word"", ""ar"": ""قريبة"", ""voweled"": ""قَرِيبَة"", ""en"": ""near (f.)"", ""roots"": [80], ""lemma"": ""قريب"", ""inflected"": ""fem""}, {""kind"": ""func"", ""ar"": ""من"", ""voweled"": ""مِنْ"", ""en"": ""from"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""البيت"", ""voweled"": ""الْبَيْت"", ""en"": ""the house"", ""roots"": [35], ""lemma"": ""بيت""}]"
a017,b,"[1, 36, 79]","[{""kind"": ""word"", ""ar"": ""المكتب"", ""voweled"": ""الْمَكْتَب"", ""en"": ""the office"", ""roots"": [1], ""lemma"": ""مكتب""}, {""kind"": ""word"", ""ar"": ""بعيد"", ""voweled"": ""بَعِيد"", ""en"": ""far"", ""roots"": [79], ""lemma"": ""بعيد""}, {""kind"": ""func"", ""ar"": ""عن"", ""voweled"": ""عَنْ"", ""en"": ""about"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""المدينة"", ""voweled"": ""الْمَدِينَة"", ""en"": ""the city"", ""roots"": [36], ""lemma"": ""مدينة""}]"
a018,b,"[1, 14, 65]","[{""kind"": ""word"", ""ar"": ""التعريف"", ""voweled"": ""التَّعْرِيف"", ""en"": ""the definition"", ""roots"": [14], ""lemma"": ""تعريف""}, {""kind"": ""func"", ""ar"": ""في"", ""voweled"": ""فِي"", ""en"": ""in"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""بداية"", ""voweled"": ""بِدَايَة"", ""en"": ""beginning"", ""roots"": [65], ""lemma"": ""بداية""}, {""kind"": ""word"", ""ar"": ""الكتاب"", ""voweled"": ""الْكِتَاب"", ""en"": ""the book"", ""roots"": [1], ""lemma"": ""كتاب""}]"
a019,b,"[13, 17, 25]","[{""kind"": ""word"", ""ar"": ""الاستماع"", ""voweled"": ""الْاِسْتِمَاع"", ""en"": ""the listening"", ""roots"": [13], ""lemma"": ""استماع""}, {""kind"": ""word"", ""ar"": ""مطلوب"", ""voweled"": ""مَطْلُوب"", ""en"": ""required"", ""roots"": [25], ""lemma"": ""مطلوب""}, {""kind"": ""func"", ""ar"": ""في"", ""voweled"": ""فِي"", ""en"": ""in"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""الدرس"", ""voweled"": ""الدَّرْس"", ""en"": ""the lesson"", ""roots"": [17], ""lemma"": ""درس""}]"
a020,i,"[15, 18, 25]","[{""kind"": ""func"", ""ar"": ""لم"", ""voweled"": ""لَمْ"", ""en"": ""did not"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""يفهم"", ""voweled"": ""يَفْهَم"", ""en"": ""understands"", ""roots"": [15], ""lemma"": ""فهم"", ""inflected"": ""conj""}, {""kind"": ""word"", ""ar"": ""الطالب"", ""voweled"": ""الطَّالِب"", ""en"": ""the student"", ""roots"": [25], ""lemma"": ""طالب""}, {""kind"": ""word"", ""ar"": ""السؤال"", ""voweled"": ""السُّؤَال"", ""en"": ""the question"", ""roots"": [18], ""lemma"": ""سؤال""}]"
a021,i,"[17, 21, 25, 75]","[{""kind"": ""word"", ""ar"": ""يريد"", ""voweled"": ""يُرِيد"", ""en"": ""wants"", ""roots"": [21], ""lemma"": ""أراد"", ""inflected"": ""override""}, {""kind"": ""word"", ""ar"": ""الطالب"", ""voweled"": ""الطَّالِب"", ""en"": ""the student"", ""roots"": [25], ""lemma"": ""طالب""}, {""kind"": ""func"", ""ar"": ""أن"", ""voweled"": ""أَنْ"", ""en"": ""to; that"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""يدرس"", ""voweled"": ""يَدْرُس"", ""en"": ""studies"", ""roots"": [17], ""lemma"": ""درس"", ""inflected"": ""conj""}, {""kind"": ""func"", ""ar"": ""في"", ""voweled"": ""فِي"", ""en"": ""in"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""الجامعة"", ""voweled"": ""الْجَامِعَة"", ""en"": ""the university"", ""roots"": [75], ""lemma"": ""جامعة""}]"
a022,i,"[1, 16]","[{""kind"": ""func"", ""ar"": ""سوف"", ""voweled"": ""سَوْفَ"", ""en"": ""will"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""أقرأ"", ""voweled"": ""أَقْرَأ"", ""en"": ""I read"", ""roots"": [16], ""lemma"": ""قرأ"", ""inflected"": ""conj""}, {""kind"": ""func"", ""ar"": ""هذا"", ""voweled"": ""هَذَا"", ""en"": ""this"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""الكتاب"", ""voweled"": ""الْكِتَاب"", ""en"": ""the book"", ""roots"": [1], ""lemma"": ""كتاب""}, {""kind"": ""func"", ""ar"": ""غدا"", ""voweled"": ""غَدًا"", ""en"": ""tomorrow"", ""roots"": []}]"
a023,i,"[1, 16, 77]","[{""kind"": ""word"", ""ar"": ""قرأت"", ""voweled"": ""قَرَأْتُ"", ""en"": ""I read (past)"", ""roots"": [16], ""lemma"": ""قرأ"", ""inflected"": ""conj""}, {""kind"": ""word"", ""ar"": ""الكتاب"", ""voweled"": ""الْكِتَاب"", ""en"": ""the book"", ""roots"": [1], ""lemma"": ""كتاب""}, {""kind"": ""word"", ""ar"": ""الجديد"", ""voweled"": ""الْجَدِيد"", ""en"": ""the new"", ""roots"": [77], ""lemma"": ""جديد""}, {""kind"": ""func"", ""ar"": ""أمس"", ""voweled"": ""أَمْسِ"", ""en"": ""yesterday"", ""roots"": []}]"
a024,i,"[1, 19]","[{""kind"": ""func"", ""ar"": ""لن"", ""voweled"": ""لَنْ"", ""en"": ""will not"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""أكتب"", ""voweled"": ""أَكْتُب"", ""en"": ""I write"", ""roots"": [1], ""lemma"": ""كتب"", ""inflected"": ""conj""}, {""kind"": ""word"", ""ar"": ""الجواب"", ""voweled"": ""الْجَوَاب"", ""en"": ""the answer"", ""roots"": [19], ""lemma"": ""جواب""}, {""kind"": ""func"", ""ar"": ""الآن"", ""voweled"": ""الْآنَ"", ""en"": ""now"", ""roots"": []}]"
a025,i,"[15, 17]","[{""kind"": ""func"", ""ar"": ""هل"", ""voweled"": ""هَلْ"", ""en"": ""(question particle)"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""فهمت"", ""voweled"": ""فَهِمْتَ"", ""en"": ""you understood"", ""roots"": [15], ""lemma"": ""فهم"", ""inflected"": ""conj""}, {""kind"": ""word"", ""ar"": ""الدرس"", ""voweled"": ""الدَّرْس"", ""en"": ""the lesson"", ""roots"": [17], ""lemma"": ""درس""}]"
a026,i,"[1, 5, 18, 77]","[{""kind"": ""word"", ""ar"": ""سألت"", ""voweled"": ""سَأَلْتُ"", ""en"": ""I asked"", ""roots"": [18], ""lemma"": ""سأل"", ""inflected"": ""conj""}, {""kind"": ""word"", ""ar"": ""المعلم"", ""voweled"": ""الْمُعَلِّم"", ""en"": ""the teacher"", ""roots"": [5], ""lemma"": ""معلم""}, {""kind"": ""func"", ""ar"": ""عن"", ""voweled"": ""عَنْ"", ""en"": ""about"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""الكتاب"", ""voweled"": ""الْكِتَاب"", ""en"": ""the book"", ""roots"": [1], ""lemma"": ""كتاب""}, {""kind"": ""word"", ""ar"": ""الجديد"", ""voweled"": ""الْجَدِيد"", ""en"": ""the new"", ""roots"": [77], ""lemma"": ""جديد""}]"
a027,i,"[5, 11, 17, 65]","[{""kind"": ""func"", ""ar"": ""عندما"", ""voweled"": ""عِنْدَمَا"", ""en"": ""when"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""دخل"", ""voweled"": ""دَخْل"", ""en"": ""income"", ""roots"": [11], ""lemma"": ""دخل""}, {""kind"": ""word"", ""ar"": ""المعلم"", ""voweled"": ""الْمُعَلِّم"", ""en"": ""the teacher"", ""roots"": [5], ""lemma"": ""معلم""}, {""kind"": ""word"", ""ar"": ""بدأ"", ""voweled"": ""بَدَأَ"", ""en"": ""began"", ""roots"": [65], ""lemma"": ""بدأ""}, {""kind"": ""word"", ""ar"": ""الدرس"", ""voweled"": ""الدَّرْس"", ""en"": ""the lesson"", ""roots"": [17], ""lemma"": ""درس""}]"
a028,i,"[15, 21, 84]","[{""kind"": ""word"", ""ar"": ""أريد"", ""voweled"": ""أُرِيد"", ""en"": ""I want"", ""roots"": [21], ""lemma"": ""أراد"", ""inflected"": ""override""}, {""kind"": ""func"", ""ar"": ""أن"", ""voweled"": ""أَنْ"", ""en"": ""to; that"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""أفهم"", ""voweled"": ""أَفْهَم"", ""en"": ""I understand"", ""roots"": [15], ""lemma"": ""فهم"", ""inflected"": ""conj""}, {""kind"": ""func"", ""ar"": ""هذه"", ""voweled"": ""هَذِهِ"", ""en"": ""this (f.)"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""الفكرة"", ""voweled"": ""الْفِكْرَة"", ""en"": ""the idea"", ""roots"": [84], ""lemma"": ""فكرة""}]"
a029,i,"[1, 2, 5]","[{""kind"": ""word"", ""ar"": ""كتب"", ""voweled"": ""كَتَبَ"", ""en"": ""wrote"", ""roots"": [1], ""lemma"": ""كتب""}, {""kind"": ""word"", ""ar"": ""الكاتب"", ""voweled"": ""الْكَاتِب"", ""en"": ""the writer"", ""roots"": [1], ""lemma"": ""كاتب""}, {""kind"": ""word"", ""ar"": ""مقالا"", ""voweled"": ""مَقَالًا"", ""en"": ""an article (acc.)"", ""roots"": [2], ""lemma"": ""مقال"", ""inflected"": ""acc""}, {""kind"": ""func"", ""ar"": ""عن"", ""voweled"": ""عَنْ"", ""en"": ""about"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""التعليم"", ""voweled"": ""التَّعْلِيم"", ""en"": ""the education"", ""roots"": [5], ""lemma"": ""تعليم""}]"
a030,i,"[15, 16, 31]","[{""kind"": ""word"", ""ar"": ""القراءة"", ""voweled"": ""الْقِرَاءَة"", ""en"": ""the reading"", ""roots"": [16], ""lemma"": ""قراءة""}, {""kind"": ""word"", ""ar"": ""تحسن"", ""voweled"": ""تُحَسِّن"", ""en"": ""improves (sth)"", ""roots"": [31], ""lemma"": ""تحسن""}, {""kind"": ""word"", ""ar"": ""الفهم"", ""voweled"": ""الْفَهْم"", ""en"": ""the understanding"", ""roots"": [15], ""lemma"": ""فهم""}]"
a031,i,"[2, 5, 78]","[{""kind"": ""word"", ""ar"": ""المعلومات"", ""voweled"": ""الْمَعْلُومَات"", ""en"": ""the information"", ""roots"": [5], ""lemma"": ""معلومات""}, {""kind"": ""func"", ""ar"": ""في"", ""voweled"": ""فِي"", ""en"": ""in"", ""roots"": []}, {""kind"": ""func"", ""ar"": ""هذا"", ""voweled"": ""هَذَا"", ""en"": ""this"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""المقال"", ""voweled"": ""الْمَقَال"", ""en"": ""the article"", ""roots"": [2], ""lemma"": ""مقال""}, {""kind"": ""word"", ""ar"": ""قديمة"", ""voweled"": ""قَدِيمَة"", ""en"": ""old (f.)"", ""roots"": [78], ""lemma"": ""قديم"", ""inflected"": ""fem""}]"
a032,i,"[5, 25, 37]","[{""kind"": ""word"", ""ar"": ""التعليم"", ""voweled"": ""التَّعْلِيم"", ""en"": ""the education"", ""roots"": [5], ""lemma"": ""تعليم""}, {""kind"": ""word"", ""ar"": ""مطلوب"", ""voweled"": ""مَطْلُوب"", ""en"": ""required"", ""roots"": [25], ""lemma"": ""مطلوب""}, {""kind"": ""func"", ""ar"": ""في"", ""voweled"": ""فِي"", ""en"": ""in"", ""roots"": []}, {""kind"": ""func"", ""ar"": ""كل"", ""voweled"": ""كُلّ"", ""en"": ""every; all"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""بلد"", ""voweled"": ""بَلَد"", ""en"": ""country"", ""roots"": [37], ""lemma"": ""بلد""}]"
a033,i,"[16, 25, 29, 92]","[{""kind"": ""word"", ""ar"": ""حفظ"", ""voweled"": ""حَفِظَ"", ""en"": ""memorized; kept"", ""roots"": [92], ""lemma"": ""حفظ""}, {""kind"": ""word"", ""ar"": ""الطالب"", ""voweled"": ""الطَّالِب"", ""en"": ""the student"", ""roots"": [25], ""lemma"": ""طالب""}, {""kind"": ""word"", ""ar"": ""القرآن"", ""voweled"": ""الْقُرْآن"", ""en"": ""the Quran"", ""roots"": [16], ""lemma"": ""قرآن""}, {""kind"": ""func"", ""ar"": ""في"", ""voweled"": ""فِي"", ""en"": ""in"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""صغره"", ""voweled"": ""صِغَرِهِ"", ""en"": ""his childhood"", ""roots"": [29], ""lemma"": ""صغر"", ""inflected"": ""poss""}]"
a034,i,"[15, 17, 26]","[{""kind"": ""func"", ""ar"": ""إذا"", ""voweled"": ""إِذَا"", ""en"": ""if"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""درست"", ""voweled"": ""دَرَسْتَ"", ""en"": ""you studied"", ""roots"": [17], ""lemma"": ""درس"", ""inflected"": ""conj""}, {""kind"": ""word"", ""ar"": ""كثيرا"", ""voweled"": ""كَثِيرًا"", ""en"": ""a lot"", ""roots"": [26], ""lemma"": ""كثير"", ""inflected"": ""acc""}, {""kind"": ""word"", ""ar"": ""فهمت"", ""voweled"": ""فَهِمْتَ"", ""en"": ""you understood"", ""roots"": [15], ""lemma"": ""فهم"", ""inflected"": ""conj""}, {""kind"": ""word"", ""ar"": ""الدرس"", ""voweled"": ""الدَّرْس"", ""en"": ""the lesson"", ""roots"": [17], ""lemma"": ""درس""}]"
a035,b,"[17, 77, 99]","[{""kind"": ""word"", ""ar"": ""الدرس"", ""voweled"": ""الدَّرْس"", ""en"": ""the lesson"", ""roots"": [17], ""lemma"": ""درس""}, {""kind"": ""word"", ""ar"": ""الجديد"", ""voweled"": ""الْجَدِيد"", ""en"": ""the new"", ""roots"": [77], ""lemma"": ""جديد""}, {""kind"": ""func"", ""ar"": ""عن"", ""voweled"": ""عَنْ"", ""en"": ""about"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""الحضارة"", ""voweled"": ""الْحَضَارَة"", ""en"": ""the civilization"", ""roots"": [99], ""lemma"": ""حضارة""}]"
a036,b,"[4, 77]","[{""kind"": ""word"", ""ar"": ""العامل"", ""voweled"": ""الْعَامِل"", ""en"": ""the worker"", ""roots"": [4], ""lemma"": ""عامل""}, {""kind"": ""func"", ""ar"": ""في"", ""voweled"": ""فِي"", ""en"": ""in"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""المعمل"", ""voweled"": ""الْمَعْمَل"", ""en"": ""the factory; lab"", ""roots"": [4], ""lemma"": ""معمل""}, {""kind"": ""word"", ""ar"": ""الجديد"", ""voweled"": ""الْجَدِيد"", ""en"": ""the new"", ""roots"": [77], ""lemma"": ""جديد""}]"
a037,b,"[4, 34, 95]","[{""kind"": ""word"", ""ar"": ""عمل"", ""voweled"": ""عَمِلَ"", ""en"": ""worked"", ""roots"": [4], ""lemma"": ""عمل""}, {""kind"": ""word"", ""ar"": ""الرجل"", ""voweled"": ""الرَّجُل"", ""en"": ""the man"", ""roots"": [34], ""lemma"": ""رجل""}, {""kind"": ""func"", ""ar"": ""في"", ""voweled"": ""فِي"", ""en"": ""in"", ""roots"": []}, {""kind"": ""word"", ""ar"": ""السوق"", ""voweled"": ""السُّوق"", ""en"": ""the market"", ""roots"": [95], ""lemma"": ""سوق""}]"
a038,b,"[25, 93]","[{""kind"": ""word"", ""ar"": ""الخدمة"", ""voweled"": ""الْخِدْمَة"", ""en"": ""the service"", ""roots"": [93], ""lemma"": ""خدمة""}, {""kind"": ""word"", ""ar"": ""مطلوبة"", ""voweled"": ""مَطْلُوبَة"", ""en"": ""required (f.)"", ""roots"": [25], ""lemma"": ""مطلوب"", ""inflected"": ""fem""}]"
a039,b,"[34, 60, 96]","[{""kind"": ""word"", ""ar"": ""باع"", ""voweled"": ""بَاعَ"", ""en"": ""sold"", ""roots"": [96], ""lemma"": ""باع""}, {""kind"": ""word"", ""ar"": ""الرجل"", ""voweled"": ""الرَّجُل"", ""en"": ""the man"", ""roots"": [34], ""lemma"": ""رجل""}, {""kind"": ""word"", ""ar"": ""سيارته"", ""voweled"": ""سَيَّارَتَهُ"", ""en"": ""his car"", ""roots"": [60], ""lemma"": ""سيارة"", ""inflected"": ""poss""}]"
a040,b,"[33, 35, 77, 97]","[{""kind"": ""word"", ""ar"": ""اشترى"", ""voweled"": ""اِشْتَرَى"", ""en"": ""bought"", ""roots"": [97], ""lemma"": ""اشترى""}, {""kind"": ""word"", ""ar"": ""الوالد"", ""voweled"": ""الْوَالِد"", ""en"": ""the father"", ""roots"": [33], ""lemma"": ""والد""}, {""kind"": ""word"", ""ar"": ""بيتا"", ""voweled"": ""بَيْتًا"", ""en"": ""a house (acc.)"", ""roots"": [35], ""lemma"": ""بيت"", ""inflected"": ""acc""}, {""kind"": ""word"", ""ar"": ""جديدا"", ""voweled"": ""جَدِيدًا"", ""en"": ""new (acc.)"", ""roots"": [77], ""lemma"": ""جديد"", ""inflected"": ""acc""}]"
